Country,Party,Dimension,Mean
BY,APB,Former Communists,2.75
BY,APB,Foreign Land Ownership,13.5
BY,APB,Media Freedom,10.75
BY,APB,Nationalism,8
BY,APB,Religion,11.75
BY,APB,Urban-Rural,14.66666698
BY,APB,Decentralization,7.25
BY,APB,Left-Right,11
BY,APB,Privacy,9.666666985
BY,APB,Sympathy,12.75
BY,BPF,Taxes v. Spending,13.39999962
BY,BPF,Privatization,14.30000019
BY,BPF,EU joining,18.89999962
BY,BPF,Environment,8.300000191
BY,BPF,Former Communists,14.19999981
BY,BPF,Foreign Land Ownership,7.699999809
BY,BPF,Media Freedom,4.400000095
BY,BPF,Nationalism,18.89999962
BY,BPF,Religion,9.399999619
BY,BPF,Urban-Rural,7.571428776
BY,BPF,Decentralization,6.599999905
BY,BPF,Left-Right,15.55555534
BY,BPF,Privacy,10.44444466
BY,BPF,Sympathy,8.222222328
BY,BSDH,Taxes v. Spending,13.25
BY,BSDH,Privatization,12.75
BY,BSDH,EU joining,18
BY,BSDH,Environment,7
BY,BSDH,Former Communists,11.75
BY,BSDH,Foreign Land Ownership,9.5
BY,BSDH,Media Freedom,4.75
BY,BSDH,Nationalism,17.75
BY,BSDH,Religion,11.39999962
BY,BSDH,Urban-Rural,7.5
BY,BSDH,Decentralization,9
BY,BSDH,Left-Right,11.75
BY,BSDH,Privacy,11
BY,BSDH,Sympathy,8.666666985
BY,BSDP-NH,Taxes v. Spending,10.11111069
BY,BSDP-NH,Privatization,10.55555534
BY,BSDP-NH,EU joining,16.55555534
BY,BSDP-NH,Environment,7.888888836
BY,BSDP-NH,Former Communists,6.111111164
BY,BSDP-NH,Foreign Land Ownership,11.11111069
BY,BSDP-NH,Media Freedom,6.555555344
BY,BSDP-NH,Nationalism,12.11111069
BY,BSDP-NH,Religion,14.55555534
BY,BSDP-NH,Urban-Rural,8.833333015
BY,BSDP-NH,Decentralization,10.11111069
BY,BSDP-NH,Left-Right,8.125
BY,BSDP-NH,Privacy,8.625
BY,BSDP-NH,Sympathy,10.5
BY,CCP-BPF,Taxes v. Spending,11.39999962
BY,CCP-BPF,Privatization,11.80000019
BY,CCP-BPF,EU joining,12.88888931
BY,CCP-BPF,Environment,5.444444656
BY,CCP-BPF,Former Communists,17.60000038
BY,CCP-BPF,Foreign Land Ownership,11.19999981
BY,CCP-BPF,Media Freedom,10.69999981
BY,CCP-BPF,Nationalism,19.60000038
BY,CCP-BPF,Religion,3.099999905
BY,CCP-BPF,Urban-Rural,9.428571701
BY,CCP-BPF,Decentralization,9.600000381
BY,CCP-BPF,Left-Right,14.66666698
BY,CCP-BPF,Privacy,14.55555534
BY,CCP-BPF,Sympathy,11
BY,KPB,Taxes v. Spending,2.599999905
BY,KPB,Privatization,1.777777791
BY,KPB,EU joining,2.666666746
BY,KPB,Environment,16.88888931
BY,KPB,Former Communists,1.222222209
BY,KPB,Foreign Land Ownership,19.44444466
BY,KPB,Media Freedom,18
BY,KPB,Nationalism,2.222222328
BY,KPB,Religion,19
BY,KPB,Urban-Rural,13.5714283
BY,KPB,Decentralization,16
BY,KPB,Left-Right,1.888888836
BY,KPB,Privacy,16.375
BY,KPB,Sympathy,15.44444466
BY,LDPB,Taxes v. Spending,13.25
BY,LDPB,Privatization,12.625
BY,LDPB,EU joining,9.25
BY,LDPB,Environment,14.5
BY,LDPB,Former Communists,6.125
BY,LDPB,Foreign Land Ownership,7.625
BY,LDPB,Media Freedom,5.5
BY,LDPB,Nationalism,4.875
BY,LDPB,Religion,13.875
BY,LDPB,Urban-Rural,7.5
BY,LDPB,Decentralization,10.5
BY,LDPB,Left-Right,13.25
BY,LDPB,Privacy,10
BY,LDPB,Sympathy,17.5714283
BY,LP,Taxes v. Spending,3
BY,LP,Privatization,3
BY,LP,EU joining,10
BY,LP,Environment,15
BY,LP,Former Communists,1
BY,LP,Foreign Land Ownership,20
BY,LP,Media Freedom,16
BY,LP,Nationalism,3
BY,LP,Religion,20
BY,LP,Urban-Rural,7
BY,LP,Decentralization,15
BY,LP,Left-Right,3
BY,LP,Privacy,11
BY,LP,Sympathy,17
BY,PKB,Taxes v. Spending,4.900000095
BY,PKB,Privatization,5.300000191
BY,PKB,EU joining,7.300000191
BY,PKB,Environment,12.30000019
BY,PKB,Former Communists,1.299999952
BY,PKB,Foreign Land Ownership,17.10000038
BY,PKB,Media Freedom,12
BY,PKB,Nationalism,5.099999905
BY,PKB,Religion,18.60000038
BY,PKB,Urban-Rural,12.28571415
BY,PKB,Decentralization,11.69999981
BY,PKB,Left-Right,5.444444656
BY,PKB,Privacy,12.77777767
BY,PKB,Sympathy,12.375
BY,UCP,Taxes v. Spending,17.66666603
BY,UCP,Privatization,18.11111069
BY,UCP,EU joining,17.11111069
BY,UCP,Environment,12.44444466
BY,UCP,Former Communists,7.444444656
BY,UCP,Foreign Land Ownership,3.111111164
BY,UCP,Media Freedom,1.777777791
BY,UCP,Nationalism,7.777777672
BY,UCP,Religion,15.44444466
BY,UCP,Urban-Rural,3.285714388
BY,UCP,Decentralization,3
BY,UCP,Left-Right,17.11111069
BY,UCP,Privacy,5.875
BY,UCP,Sympathy,8.625
BY,WP,Taxes v. Spending,8.5
BY,WP,Privatization,9.5
BY,WP,EU joining,19
BY,WP,Environment,7
BY,WP,Former Communists,4.5
BY,WP,Foreign Land Ownership,9
BY,WP,Media Freedom,6
BY,WP,Nationalism,9.5
BY,WP,Religion,11
BY,WP,Urban-Rural,6.5
BY,WP,Decentralization,10.5
BY,WP,Left-Right,8.5
BY,WP,Privacy,13
BY,WP,Sympathy,13
BA,HDZ,Taxes v. Spending,14.5
BA,HDZ,Social,19
BA,HDZ,Privatization,17.5
BA,HDZ,EU joining,16
BA,HDZ,Environment,16.5
BA,HDZ,Former Communists,16.5
BA,HDZ,Foreign Land Ownership,5
BA,HDZ,Media Freedom,16.5
BA,HDZ,Nationalism,20
BA,HDZ,Religion,2
BA,HDZ,Urban-Rural,15
BA,HDZ,Decentralization,8
BA,HDZ,Left-Right,18.5
BA,HDZ,Sympathy,20
BA,PDP,Taxes v. Spending,13.5
BA,PDP,Social,14.5
BA,PDP,Privatization,16
BA,PDP,EU joining,17.5
BA,PDP,Environment,13.5
BA,PDP,Former Communists,5.5
BA,PDP,Foreign Land Ownership,7
BA,PDP,Media Freedom,8.5
BA,PDP,Nationalism,13
BA,PDP,Religion,16.5
BA,PDP,Urban-Rural,8.5
BA,PDP,Decentralization,9
BA,PDP,Left-Right,12.5
BA,PDP,Sympathy,15
BA,SBiH,Taxes v. Spending,9
BA,SBiH,Social,15
BA,SBiH,Privatization,13.5
BA,SBiH,EU joining,16
BA,SBiH,Environment,14.5
BA,SBiH,Former Communists,12
BA,SBiH,Foreign Land Ownership,7
BA,SBiH,Media Freedom,15
BA,SBiH,Nationalism,15
BA,SBiH,Religion,11
BA,SBiH,Urban-Rural,11
BA,SBiH,Decentralization,13
BA,SBiH,Left-Right,13
BA,SBiH,Sympathy,16.5
BA,SDA,Taxes v. Spending,14
BA,SDA,Social,18
BA,SDA,Privatization,14.5
BA,SDA,EU joining,15
BA,SDA,Environment,16
BA,SDA,Former Communists,16
BA,SDA,Foreign Land Ownership,6
BA,SDA,Media Freedom,16.5
BA,SDA,Nationalism,19
BA,SDA,Religion,7
BA,SDA,Urban-Rural,16.5
BA,SDA,Decentralization,17
BA,SDA,Left-Right,17
BA,SDA,Sympathy,18.5
BA,SDP,Taxes v. Spending,9.5
BA,SDP,Social,9
BA,SDP,Privatization,10
BA,SDP,EU joining,20
BA,SDP,Environment,9
BA,SDP,Former Communists,2
BA,SDP,Foreign Land Ownership,10.5
BA,SDP,Media Freedom,4.5
BA,SDP,Nationalism,5
BA,SDP,Religion,19.5
BA,SDP,Urban-Rural,4
BA,SDP,Decentralization,2
BA,SDP,Left-Right,5.5
BA,SDP,Sympathy,4.5
BA,SDS,Taxes v. Spending,11
BA,SDS,Social,18.5
BA,SDS,Privatization,15
BA,SDS,EU joining,14
BA,SDS,Environment,15.5
BA,SDS,Former Communists,11.5
BA,SDS,Foreign Land Ownership,9.5
BA,SDS,Media Freedom,15
BA,SDS,Nationalism,20
BA,SDS,Religion,2
BA,SDS,Urban-Rural,18
BA,SDS,Decentralization,8
BA,SDS,Left-Right,18
BA,SDS,Sympathy,19
BA,SNSD,Taxes v. Spending,13
BA,SNSD,Social,13.5
BA,SNSD,Privatization,14
BA,SNSD,EU joining,18.5
BA,SNSD,Environment,12.5
BA,SNSD,Former Communists,6.5
BA,SNSD,Foreign Land Ownership,9.5
BA,SNSD,Media Freedom,7.5
BA,SNSD,Nationalism,13
BA,SNSD,Religion,14.5
BA,SNSD,Urban-Rural,9
BA,SNSD,Decentralization,4
BA,SNSD,Left-Right,10
BA,SNSD,Sympathy,10.5
BA,SPRS,Taxes v. Spending,8.5
BA,SPRS,Social,14
BA,SPRS,Privatization,10.5
BA,SPRS,EU joining,15.5
BA,SPRS,Environment,12.5
BA,SPRS,Former Communists,1
BA,SPRS,Foreign Land Ownership,12
BA,SPRS,Media Freedom,10.5
BA,SPRS,Nationalism,16
BA,SPRS,Religion,14
BA,SPRS,Urban-Rural,8
BA,SPRS,Decentralization,5
BA,SPRS,Left-Right,8
BA,SPRS,Sympathy,10.5
BG,BBB,Taxes v. Spending,14.44444466
BG,BBB,Social,10.875
BG,BBB,Privatization,14.11111069
BG,BBB,EU joining,15.60000038
BG,BBB,Environment,14
BG,BBB,Former Communists,6.555555344
BG,BBB,Foreign Land Ownership,13.5
BG,BBB,Media Freedom,10.22222233
BG,BBB,Nationalism,13.89999962
BG,BBB,Religion,15.44444466
BG,BBB,Urban-Rural,9.555555344
BG,BBB,Decentralization,8.428571701
BG,BBB,Left-Right,11.60000038
BG,BBB,Sympathy,17
BG,BKP,Taxes v. Spending,4.300000191
BG,BKP,Social,15.875
BG,BKP,Privatization,1.799999952
BG,BKP,EU joining,6.444444656
BG,BKP,Environment,14.19999981
BG,BKP,Former Communists,1
BG,BKP,Foreign Land Ownership,20
BG,BKP,Media Freedom,17.125
BG,BKP,Nationalism,16.77777863
BG,BKP,Religion,17.60000038
BG,BKP,Urban-Rural,16
BG,BKP,Decentralization,15.80000019
BG,BKP,Left-Right,1.555555582
BG,BKP,Sympathy,18.22222137
BG,BNDP,Taxes v. Spending,12.89999962
BG,BNDP,Social,9.625
BG,BNDP,Privatization,14.60000038
BG,BNDP,EU joining,18.55555534
BG,BNDP,Environment,11.69999981
BG,BNDP,Former Communists,15.30000019
BG,BNDP,Foreign Land Ownership,7.777777672
BG,BNDP,Media Freedom,8.600000381
BG,BNDP,Nationalism,8
BG,BNDP,Religion,9.199999809
BG,BNDP,Urban-Rural,4.599999905
BG,BNDP,Decentralization,9.300000191
BG,BNDP,Left-Right,14.80000019
BG,BNDP,Sympathy,11.80000019
BG,BSDP,Taxes v. Spending,9.800000191
BG,BSDP,Social,7.5
BG,BSDP,Privatization,11.60000038
BG,BSDP,EU joining,18.10000038
BG,BSDP,Environment,11
BG,BSDP,Former Communists,4.699999809
BG,BSDP,Foreign Land Ownership,10
BG,BSDP,Media Freedom,7.099999905
BG,BSDP,Nationalism,9.100000381
BG,BSDP,Religion,14.30000019
BG,BSDP,Urban-Rural,7.5
BG,BSDP,Decentralization,7.875
BG,BSDP,Left-Right,8.600000381
BG,BSDP,Sympathy,12.69999981
BG,BSP,Taxes v. Spending,6.545454502
BG,BSP,Social,9.555555344
BG,BSP,Privatization,9.100000381
BG,BSP,EU joining,16.55555534
BG,BSP,Environment,11.54545498
BG,BSP,Former Communists,2.272727251
BG,BSP,Foreign Land Ownership,13.63636398
BG,BSP,Media Freedom,10.81818199
BG,BSP,Nationalism,11.909091
BG,BSP,Religion,16.18181801
BG,BSP,Urban-Rural,14.45454502
BG,BSP,Decentralization,10.54545498
BG,BSP,Left-Right,6.090909004
BG,BSP,Sympathy,14.36363602
BG,BZNS,Taxes v. Spending,12
BG,BZNS,Social,12.28571415
BG,BZNS,Privatization,13.89999962
BG,BZNS,EU joining,18
BG,BZNS,Environment,11.81818199
BG,BZNS,Former Communists,15.5
BG,BZNS,Foreign Land Ownership,12.60000038
BG,BZNS,Media Freedom,9.727272987
BG,BZNS,Nationalism,10.19999981
BG,BZNS,Religion,12.19999981
BG,BZNS,Urban-Rural,14.89999962
BG,BZNS,Decentralization,10.30000019
BG,BZNS,Left-Right,12.5
BG,BZNS,Sympathy,13.69999981
BG,DPS,Taxes v. Spending,9.909090996
BG,DPS,Social,11.44444466
BG,DPS,Privatization,12.19999981
BG,DPS,EU joining,17.89999962
BG,DPS,Environment,13.63636398
BG,DPS,Former Communists,6.454545498
BG,DPS,Foreign Land Ownership,7.300000191
BG,DPS,Media Freedom,12.10000038
BG,DPS,Nationalism,8
BG,DPS,Religion,15
BG,DPS,Urban-Rural,16.63636398
BG,DPS,Decentralization,11.5
BG,DPS,Left-Right,9.090909004
BG,DPS,Sympathy,15.60000038
BG,G,Taxes v. Spending,12.60000038
BG,G,Social,6.375
BG,G,Privatization,14.10000038
BG,G,EU joining,16.79999924
BG,G,Environment,9.454545021
BG,G,Former Communists,7.400000095
BG,G,Foreign Land Ownership,9.699999809
BG,G,Media Freedom,6.099999905
BG,G,Nationalism,8.800000191
BG,G,Religion,13.80000019
BG,G,Urban-Rural,5.400000095
BG,G,Decentralization,6.199999809
BG,G,Left-Right,13
BG,G,Sympathy,13
BG,NDST,Taxes v. Spending,11.36363602
BG,NDST,Social,6.555555344
BG,NDST,Privatization,15.18181801
BG,NDST,EU joining,19
BG,NDST,Environment,14
BG,NDST,Former Communists,5.090909004
BG,NDST,Foreign Land Ownership,7.454545498
BG,NDST,Media Freedom,11.80000019
BG,NDST,Nationalism,6.599999905
BG,NDST,Religion,11.45454502
BG,NDST,Urban-Rural,11.18181801
BG,NDST,Decentralization,12.11111069
BG,NDST,Left-Right,11.54545498
BG,NDST,Sympathy,16.09090996
BG,ODS,Taxes v. Spending,12.36363602
BG,ODS,Social,6.888888836
BG,ODS,Privatization,16.45454597
BG,ODS,EU joining,19.79999924
BG,ODS,Environment,12.81818199
BG,ODS,Former Communists,14.72727299
BG,ODS,Foreign Land Ownership,6.454545498
BG,ODS,Media Freedom,9.454545021
BG,ODS,Nationalism,7.090909004
BG,ODS,Religion,8.454545021
BG,ODS,Urban-Rural,4.818181992
BG,ODS,Decentralization,9.818181992
BG,ODS,Left-Right,15.72727299
BG,ODS,Sympathy,10.18181801
BG,UFD,Social,11
BG,UFD,Privatization,11
BG,UFD,EU joining,20
BG,UFD,Environment,15
BG,UFD,Former Communists,11
BG,UFD,Foreign Land Ownership,5
BG,UFD,Media Freedom,14
BG,UFD,Nationalism,7
BG,UFD,Religion,7
BG,UFD,Urban-Rural,4
BG,UFD,Decentralization,19
BG,UFD,Left-Right,14
BG,UFD,Sympathy,12
BG,VMRO,Taxes v. Spending,11.19999981
BG,VMRO,Social,13.5
BG,VMRO,Privatization,12
BG,VMRO,EU joining,13.66666698
BG,VMRO,Environment,12.80000019
BG,VMRO,Former Communists,10.89999962
BG,VMRO,Foreign Land Ownership,15.5
BG,VMRO,Media Freedom,11.55555534
BG,VMRO,Nationalism,18.60000038
BG,VMRO,Religion,12.27272701
BG,VMRO,Urban-Rural,10.89999962
BG,VMRO,Decentralization,11.375
BG,VMRO,Left-Right,13.39999962
BG,VMRO,Sympathy,15.36363602
HR,DC,Taxes v. Spending,10.19999981
HR,DC,Social,13.33333302
HR,DC,Privatization,8.5
HR,DC,EU joining,15
HR,DC,Environment,13
HR,DC,Former Communists,10
HR,DC,Foreign Land Ownership,10.83333302
HR,DC,Media Freedom,9.833333015
HR,DC,Nationalism,12.5
HR,DC,Religion,5.833333492
HR,DC,Urban-Rural,9.166666985
HR,DC,Decentralization,12
HR,DC,Left-Right,12.33333302
HR,DC,Sympathy,12.16666698
HR,HB,Taxes v. Spending,7
HR,HB,Social,15.60000038
HR,HB,Privatization,6.400000095
HR,HB,EU joining,4.5
HR,HB,Environment,11.19999981
HR,HB,Former Communists,16
HR,HB,Foreign Land Ownership,13.19999981
HR,HB,Media Freedom,11.80000019
HR,HB,Nationalism,19.16666603
HR,HB,Religion,3.166666746
HR,HB,Urban-Rural,15.19999981
HR,HB,Decentralization,17.60000038
HR,HB,Left-Right,18.83333397
HR,HB,Sympathy,18.5
HR,HDZ,Taxes v. Spending,11.83333302
HR,HDZ,Social,14.16666698
HR,HDZ,Privatization,8.833333015
HR,HDZ,EU joining,14.5
HR,HDZ,Environment,15.33333302
HR,HDZ,Former Communists,12.16666698
HR,HDZ,Foreign Land Ownership,12.16666698
HR,HDZ,Media Freedom,11
HR,HDZ,Nationalism,15.66666698
HR,HDZ,Religion,3.666666746
HR,HDZ,Urban-Rural,13.16666698
HR,HDZ,Decentralization,16.33333397
HR,HDZ,Left-Right,14.5
HR,HDZ,Sympathy,14.16666698
HR,HNS,Taxes v. Spending,13.5
HR,HNS,Social,4.333333492
HR,HNS,Privatization,15.33333302
HR,HNS,EU joining,18
HR,HNS,Environment,14.33333302
HR,HNS,Former Communists,3.666666746
HR,HNS,Foreign Land Ownership,7
HR,HNS,Media Freedom,7.5
HR,HNS,Nationalism,2.833333254
HR,HNS,Religion,18.16666603
HR,HNS,Urban-Rural,4.333333492
HR,HNS,Decentralization,5.333333492
HR,HNS,Left-Right,4.5
HR,HNS,Sympathy,7.666666508
HR,HSLS,Taxes v. Spending,9.833333015
HR,HSLS,Social,11.5
HR,HSLS,Privatization,10.66666698
HR,HSLS,EU joining,10.66666698
HR,HSLS,Environment,12
HR,HSLS,Former Communists,14
HR,HSLS,Foreign Land Ownership,11.83333302
HR,HSLS,Media Freedom,8.5
HR,HSLS,Nationalism,15.66666698
HR,HSLS,Religion,8.5
HR,HSLS,Urban-Rural,9
HR,HSLS,Decentralization,11.5
HR,HSLS,Left-Right,14.66666698
HR,HSLS,Sympathy,11.16666698
HR,HSP,Taxes v. Spending,7.666666508
HR,HSP,Social,15
HR,HSP,Privatization,9.666666985
HR,HSP,EU joining,7.333333492
HR,HSP,Environment,5.333333492
HR,HSP,Former Communists,18
HR,HSP,Foreign Land Ownership,16
HR,HSP,Media Freedom,10.33333302
HR,HSP,Nationalism,19
HR,HSP,Religion,6
HR,HSP,Urban-Rural,11.33333302
HR,HSP,Decentralization,15
HR,HSP,Left-Right,17.66666603
HR,HSP,Sympathy,15.16666698
HR,HSS,Taxes v. Spending,9.166666985
HR,HSS,Social,15.83333302
HR,HSS,Privatization,7.5
HR,HSS,EU joining,12.83333302
HR,HSS,Environment,8.5
HR,HSS,Former Communists,10.66666698
HR,HSS,Foreign Land Ownership,13.83333302
HR,HSS,Media Freedom,10.33333302
HR,HSS,Nationalism,15.33333302
HR,HSS,Religion,4.166666508
HR,HSS,Urban-Rural,18
HR,HSS,Decentralization,11
HR,HSS,Left-Right,12.83333302
HR,HSS,Sympathy,13.33333302
HR,IDS,Taxes v. Spending,12.83333302
HR,IDS,Social,5.833333492
HR,IDS,Privatization,10.33333302
HR,IDS,EU joining,18.5
HR,IDS,Environment,9.833333015
HR,IDS,Former Communists,4.333333492
HR,IDS,Foreign Land Ownership,9.333333015
HR,IDS,Media Freedom,7.333333492
HR,IDS,Nationalism,2.333333254
HR,IDS,Religion,16.5
HR,IDS,Urban-Rural,8.5
HR,IDS,Decentralization,1.166666627
HR,IDS,Left-Right,7.5
HR,IDS,Sympathy,10
HR,LIBRA,Taxes v. Spending,13.83333302
HR,LIBRA,Social,7.166666508
HR,LIBRA,Privatization,13.5
HR,LIBRA,EU joining,17.5
HR,LIBRA,Environment,8.199999809
HR,LIBRA,Former Communists,4.800000191
HR,LIBRA,Foreign Land Ownership,7.666666508
HR,LIBRA,Media Freedom,6.5
HR,LIBRA,Nationalism,6.166666508
HR,LIBRA,Religion,15.16666698
HR,LIBRA,Urban-Rural,6
HR,LIBRA,Decentralization,5.400000095
HR,LIBRA,Left-Right,8.166666985
HR,LIBRA,Sympathy,8.5
HR,LS,Taxes v. Spending,13.5
HR,LS,Social,3.666666746
HR,LS,Privatization,14
HR,LS,EU joining,17.33333397
HR,LS,Environment,3.833333254
HR,LS,Former Communists,4.833333492
HR,LS,Foreign Land Ownership,7.833333492
HR,LS,Media Freedom,6
HR,LS,Nationalism,3.666666746
HR,LS,Religion,16.83333397
HR,LS,Urban-Rural,4.166666508
HR,LS,Decentralization,4.5
HR,LS,Left-Right,6.333333492
HR,LS,Sympathy,8.666666985
HR,SDP,Taxes v. Spending,11.5
HR,SDP,Social,5.5
HR,SDP,Privatization,12.66666698
HR,SDP,EU joining,17.66666603
HR,SDP,Environment,12
HR,SDP,Former Communists,2.333333254
HR,SDP,Foreign Land Ownership,7.833333492
HR,SDP,Media Freedom,7.833333492
HR,SDP,Nationalism,6.333333492
HR,SDP,Religion,16.83333397
HR,SDP,Urban-Rural,5.166666508
HR,SDP,Decentralization,6.666666508
HR,SDP,Left-Right,7.166666508
HR,SDP,Sympathy,4
CZ,CSSD,Taxes v. Spending,6.166666508
CZ,CSSD,Social,7.058823586
CZ,CSSD,Privatization,8.666666985
CZ,CSSD,EU joining,17.13888931
CZ,CSSD,Environment,10.22857189
CZ,CSSD,Former Communists,7.361111164
CZ,CSSD,Foreign Land Ownership,13.02777767
CZ,CSSD,Media Freedom,11.13888931
CZ,CSSD,Nationalism,10.45714283
CZ,CSSD,Religion,15.72222233
CZ,CSSD,Urban-Rural,9.45714283
CZ,CSSD,Decentralization,8.833333015
CZ,CSSD,Left-Right,7.444444656
CZ,CSSD,Sympathy,9.285714149
CZ,KDU,Taxes v. Spending,9.75
CZ,KDU,Social,18.11111069
CZ,KDU,Privatization,12.69444466
CZ,KDU,EU joining,16.91666603
CZ,KDU,Environment,10.25714302
CZ,KDU,Former Communists,14.47058868
CZ,KDU,Foreign Land Ownership,9.857142448
CZ,KDU,Media Freedom,11.48571396
CZ,KDU,Nationalism,9.800000191
CZ,KDU,Religion,3.111111164
CZ,KDU,Urban-Rural,15.05714321
CZ,KDU,Decentralization,8.942856789
CZ,KDU,Left-Right,11.13888931
CZ,KDU,Sympathy,12.68571472
CZ,KSCM,Taxes v. Spending,4.444444656
CZ,KSCM,Social,8.199999809
CZ,KSCM,Privatization,4.028571606
CZ,KSCM,EU joining,4.857142925
CZ,KSCM,Environment,11.52941132
CZ,KSCM,Former Communists,1.638888836
CZ,KSCM,Foreign Land Ownership,18.2857151
CZ,KSCM,Media Freedom,14.88888931
CZ,KSCM,Nationalism,16.61111069
CZ,KSCM,Religion,18
CZ,KSCM,Urban-Rural,11.909091
CZ,KSCM,Decentralization,12.86111069
CZ,KSCM,Left-Right,2.638888836
CZ,KSCM,Sympathy,15.17142868
CZ,MDS,Taxes v. Spending,16
CZ,MDS,Social,18
CZ,MDS,Privatization,15
CZ,MDS,EU joining,15
CZ,MDS,Environment,11
CZ,MDS,Former Communists,12
CZ,MDS,Foreign Land Ownership,11
CZ,MDS,Media Freedom,10
CZ,MDS,Nationalism,17
CZ,MDS,Religion,13
CZ,MDS,Urban-Rural,11
CZ,MDS,Decentralization,4
CZ,MDS,Left-Right,12
CZ,MDS,Sympathy,5
CZ,NKL,Taxes v. Spending,6
CZ,NKL,Social,20
CZ,NKL,Privatization,6
CZ,NKL,EU joining,1
CZ,NKL,Environment,5
CZ,NKL,Former Communists,20
CZ,NKL,Foreign Land Ownership,20
CZ,NKL,Media Freedom,17
CZ,NKL,Nationalism,20
CZ,NKL,Religion,8
CZ,NKL,Urban-Rural,10
CZ,NKL,Decentralization,18
CZ,NKL,Left-Right,20
CZ,NKL,Sympathy,1
CZ,ODS,Taxes v. Spending,16.30555534
